item,factor1,factor2,Sentence,CompQuestion,CorrectAns
1a,mismatch,nocc,Mary washed - the dishes. - After - each boy - brought fresh water - quickly - I know she - went - on a break - early.,Did Mary wash the dishes?,y
1b,mismatch,cc,Mary washed - the dishes. - I know - each boy - brought fresh water - quickly - before she - went - on a break - early.,Did Mary wash the dishes?,n
1c,match,nocc,Mary washed - the dishes. - After - each boy - brought fresh water - quickly - I know he - went - on a break - early.,Did Mary wash the dishes?,y
1d,match,cc,Mary washed - the dishes. - I know - each boy - brought fresh water - quickly - before he - went - on a break - early.,Did Mary wash the dishes?,n
2a,mismatch,nocc,Roger went - to the drugstore. - Before - each ballerina - fainted on stage - dramatically - I know he - practiced - the dance steps - carefully.,Did Mary wash the dishes?,n
2b,mismatch,cc,Roger went - to the drugstore. - I know - each ballerina - fainted on stage - dramatically - after he - practiced - the dance steps - carefully.,Did Mary wash the dishes?,y
2c,match,nocc,Roger went - to the drugstore. - Before - each ballerina - fainted on stage - dramatically - I know she - practiced - the dance steps - carefully.,Did Mary wash the dishes?,n
2d,match,cc,Roger went - to the drugstore. - I know - each ballerina - fainted on stage - dramatically - after she - practiced - the dance steps - carefully.,Did Mary wash the dishes?,y
3a,mismatch,nocc,The queen - left the castle. - Before - each prince - went hunting - in the woods - I heard she - poisoned - the food - with cyanide.,Did Mary wash the dishes?,y
3b,mismatch,cc,The queen - left the castle. -  I heard - each prince - went hunting - in the woods - after she - poisoned - the food - with cyanide.,Did Mary wash the dishes?,n
3c,match,nocc,The queen - left the castle. - Before - each prince - went hunting - in the woods - I heard he - poisoned - the food - with cyanide.,Did Mary wash the dishes?,y
3d,match,cc,The queen - left the castle. - I heard - each prince - went hunting - in the woods - after he - poisoned - the food - with cyanide.,Did Mary wash the dishes?,n
4a,mismatch,nocc,I spoke - to Amanda. - Since - each policeman - was on duty - downtown - it appears she - investigated the - crime scene - in the dark.,Did Mary wash the dishes?,n
4b,mismatch,cc,I spoke - to Amanda. - It appears - each policeman - was on duty -downtown - since she - investigated the - crime scene - in the dark.,Did Mary wash the dishes?,y
4c,match,nocc,I spoke - to Amanda. - Since - each policeman - was on duty - downtown - it appears he - investigated the - crime scene - in the dark.,Did Mary wash the dishes?,n
4d,match,cc,I spoke - to Amanda. - It appears - each policeman - was on duty -downtown - since he - investigated the - crime scene - in the dark.,Did Mary wash the dishes?,y
5a,mismatch,nocc,Fred told us - about the emergency. - Since  - each nurse - was worried - about safety - it seems he - checked on - the operating room - several times.,Did Mary wash the dishes?,y
5b,mismatch,cc,Fred told us - about the emergency. - It seems - each nurse - was worried - about safety - since he - checked on - the operating room - several times.,Did Mary wash the dishes?,n
5c,match,nocc,Fred told us - about the emergency. - Since  - each nurse - was worried - about safety - it seems she - checked on - the operating room - several times.,Did Mary wash the dishes?,y
5d,match,cc,Fred told us - about the emergency. - It seems - each nurse - was worried - about safety - since she - checked on - the operating room - several times.,Did Mary wash the dishes?,n
6a,mismatch,nocc,Leslie was - at the station. - Before - each fireman - was too weak - to carry the hose - it seems she - called for  - backup to help - quickly.,Did Mary wash the dishes?,n
6b,mismatch,cc,Leslie was - at the station. - It seems - each fireman - was too weak - to carry the hose - before she - called for  - backup to help - quickly.,Did Mary wash the dishes?,y
6c,match,nocc,Leslie was - at the station. - Before - each fireman - was too weak - to carry the hose - it seems he - called for  - backup to help - quickly.,Did Mary wash the dishes?,n
6d,match,cc,Leslie was - at the station. - It seems - each fireman - was too weak - to carry the hose - before he - called for  - backup to help - quickly.,Did Mary wash the dishes?,y
7a,mismatch,nocc,Peter was - working at the diner. - When - each waitress - spilled the drinks - all over the floor - I saw he - went quickly - back to - the kitchen.,Did Mary wash the dishes?,y
7b,mismatch,cc,Peter was - working at the diner. - I saw - each waitress - spilled the drinks - all over the floor - when he - went quickly - back to - the kitchen.,Did Mary wash the dishes?,n
7c,match,nocc,Peter was - working at the diner. - When - each waitress - spilled the drinks - all over the floor - I saw she - went quickly - back to - the kitchen.,Did Mary wash the dishes?,y
7d,match,cc,Peter was - working at the diner. - I saw - each waitress - spilled the drinks - all over the floor - when she - went quickly - back to - the kitchen.,Did Mary wash the dishes?,n
8a,mismatch,nocc,Laura helped out - with catering. - When - each groomsman - was on the dance - floor having fun - it seems she - asked one of  - the little flower girls - to dance.,Did Mary wash the dishes?,n
8b,mismatch,cc,Laura helped out - with catering. - It seems - each groomsman - was on the dance - floor having fun - when she - asked one of  - the little flower girls - to dance.,Did Mary wash the dishes?,y
8c,match,nocc,Laura helped out - with catering. - When - each groomsman - was on the dance - floor having fun - it seems he - asked one of  - the little flower girls - to dance.,Did Mary wash the dishes?,n
8d,match,cc,Laura helped out - with catering. - It seems - each groomsman - was on the dance - floor having fun - when he - asked one of  - the little flower girls - to dance.,Did Mary wash the dishes?,y
