Id,HeadNoun,Gender,Clause,Region,Sentence,CorrectAns,NofCharacters
r1s1,A,Match,NounComp,R0,_ ___ ___ ___ ____ ____ ___ _______ _____ ___ ____ ____ ___ _______ ______ _ _________,space,0
r1s1,A,Match,NounComp,R1,A man who ___ ____ ____ ___ _______ _____ ___ ____ ____ ___ _______ ______ _ _________,space,7
r1s1,A,Match,NounComp,R2,_ ___ ___ the fact ____ ___ _______ _____ ___ ____ ____ ___ _______ ______ _ _________,space,7
r1s1,A,Match,NounComp,R3,_ ___ ___ ___ ____ that the manager ___ ____ ____ ___ _______ ______ _ _________,space,14
r1s1,A,Match,NounComp,R4,_ ___ ___ ___ ____ ____ ___ _______ hired him ____ ____ ___ _______ ______ _ _________,space,8
r1s1,A,Match,NounComp,R5,_ ___ ___ ___ ____ ____ ___ _______ _____ ___ last year ___ _______ ______ _ _________,space,8
r1s1,A,Match,NounComp,R6,_ ___ ___ ___ ____ ____ ___ _______ _____ ___ ____ ____ was amazing ______ _ _________,space,10
r1s1,A,Match,NounComp,R7,_ ___ ___ ___ ____ ____ ___ _______ _____ ___ ____ ____ ___ _______ became a reporter.,space,16
r1s1,A,Match,NounComp,R8,Please answer the comprehension question by pressing y (yes) or n (no). Press the space bar to proceed to the question.,space,94
r1s1,A,Match,NounComp,R9,Did a man become a reporter? ,y,23
